Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Australia,AUS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64835.9199754535,64407.484256932
Canada,CAN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-3.13572887002684,-0.548718817744401,3.89682709187218,0.869088412966263,0.396326252053797,-8.42439257665221,8.19911224800659,..,..,..
Canada,CAN,"Population, total",SP.POP.TOTL,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.8258536585366,81.94,81.8129268292683,81.8087804878049,82.1636585365854,81.5351219512195,81.5168292682927,81.2453658536585,81.6465853658537,..
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43594.1941045394,42314.0615817218,45129.628116623,46539.1761570405,46352.8693445211,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54282.6176051733
China,CHN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,6.50860615314738,6.44313876938401,6.39337333642158,3.657695972341,4.20316870636445,0.0845036471430518,6.79437074751952,..,..,..
China,CHN,"Population, total",SP.POP.TOTL,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,..
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
Finland,FIN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.63635503276308,2.19363929411429,2.57820307527371,1.58775883534501,0.619697735907437,-1.23000802956454,3.73897949789652,..,..,..
Finland,FIN,"Population, total",SP.POP.TOTL,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5637214
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,81.6853658536585,..
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,42560.3456767103,43451.2562442158,46085.0174739036,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148,50440.560224974,52821.5114340717,53188.6186245158
Germany,DEU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.00194278160572,2.39238391603813,1.93451081492235,1.26805901040905,0.726939638167096,-4.77153153809168,2.50285421951435,..,..,..
Germany,DEU,"Population, total",SP.POP.TOTL,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83901923,83510950
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439,80.6080487804878,80.5414634146342,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41911.0109851054,42961.0356905775,45526.5999576533,48874.8595028454,47623.8656074829,47379.765194548,52265.6541620571,49686.1154582583,53940.4073447462,55800.2194549412
Italy,ITA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.955588889397944,3.84349470653598,1.83816590757996,1.19018990320427,0.914853921636364,-9.0016933631078,6.7474771304898,..,..,..
Italy,ITA,"Population, total",SP.POP.TOTL,60229605,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58993475,58986023
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.7,83.7,..
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,30639.8829751432,31391.5692898108,32844.115660604,34904.1081923834,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39065.4244365633,40226.0472416173
"Korea, Rep.",KOR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,5.31438201700981,3.72508920924051,3.30557229901632,0.615888135460779,-1.12225964796505,-1.37854553150645,3.25852998449514,..,..,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,83.2268292682927,83.4268292682927,83.5268292682927,82.6804878048781,83.4292682926829,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,28737.4391706499,29280.4403170048,31600.7358741365,33447.1562836166,31902.4169048194,31721.2989141857,35125.5224984723,32394.6833725203,33121.3712885508,..
Pakistan,PAK,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.90330429189187,18.4566552663783,3.59469903673697,4.07954355923709,1.04037439162519,-2.13558920015436,5.84747033829215,..,..,..
Pakistan,PAK,"Population, total",SP.POP.TOTL,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.641,65.943,66.223,66.481,66.729,65.701,65.773,67.417,67.649,..
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1380.47020838317,1424.69161195897,1519.23459514248,1569.33814626355,1390.41690981745,1278.39735206896,1455.31922370186,1538.3228133171,1365.16927410976,1484.74985864775
Qatar,QAT,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,1.95889713144204,5.73136988731264,-5.60434945469027,-17.0638679523866,..,..,..,..
Qatar,QAT,"Population, total",SP.POP.TOTL,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.785,82.147,82.458,82.714,82.945,80.409,81.083,81.857,82.368,..
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,68985.2946961507,61253.6375482797,63279.8556949332,71039.8490579352,66841.3013484919,51683.5054376677,71751.8831257169,88701.463352273,80195.8746508549,76275.9076782833
South Africa,ZAF,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.98685252635194,-1.15261247593816,1.74306598204741,-0.979636158022487,-0.420354614733668,-6.11562654457376,5.20238575878456,..,..,..
South Africa,ZAF,"Population, total",SP.POP.TOTL,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.053,64.749,65.422,65.726,66.071,65.15,62.01,65.454,66.139,..
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6112.27382485974,5651.20585165749,6618.33508255701,6914.1780318076,6533.71121032856,5580.60383075189,6843.39941886204,6523.41097815853,6022.54254192335,6253.37158194543
United States,USA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.95507621184076,-0.248145130206083,1.98443719531898,2.4035674513206,1.83884113502309,-4.30381651287594,5.33686657523864,..,..,..
United States,USA,"Population, total",SP.POP.TOTL,321815121,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,76.9804878048781,76.3292682926829,77.4341463414634,78.3853658536585,..
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,56849.4697923159,57976.628204291,60047.7190728307,62875.6661382728,65227.9565911038,64401.5074354212,71307.4017277218,77860.9112908848,82304.6204272866,85809.9003846356
United Kingdom,GBR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.21163461645541,0.999039655475499,2.56353788470611,0.339850376019996,..,..,..,..,..,..
United Kingdom,GBR,"Population, total",SP.POP.TOTL,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,81.3691219512195,80.331756097561,80.6473170731707,81.0112195121951,81.2380975609756,..
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,44983.885522934,40988.1044233026,40629.2340347345,43315.4874501318,42794.0022648288,40404.8062238951,46926.475736105,46062.9914079698,49200.8101526146,52636.7865943853
European Union,EUU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.580494137427,2.47190191767015,2.46581813066112,1.76387167527288,1.57157592733522,-6.84495572259377,5.70835483921445,..,..,..
European Union,EUU,"Population, total",SP.POP.TOTL,443793218,444676652,445321060,446329890,446910453,446870959,446227358,447703403,449425965,450185396
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.5708966220669,80.9530808081627,80.9303097853099,81.0317510064821,81.3194524901834,80.4414754678551,80.3071964400875,80.7129818383208,81.4114503796875,..
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,30769.090644109,31462.4341209885,33391.9679020533,36054.3954466385,35374.6443827131,34698.4032089427,39214.3660784805,37962.8295010744,41392.0743803078,43145.1566930223
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,
